1;Цели и задачи итогового сочинения;-1;objective;«Сочинение должно показывать уровень вашей речевой культуры, начитанность, личностную зрелость и умение рассуждать с опорой на литературный материал по избранной теме. Таким образом, вы должны продемонстрировать умение логично и грамотно строить связный текст рассуждение, обращаться к литературному материалу для подтверждения своих мыслей» – отмечает, на что нацелен экзамен в виде творческой работы, известный автор многих учебных пособий А.Г. Нарушевич. Итоговое сочинение представляет собой самостоятельную письменную работу, предполагающую изложение собственных мыслей на заданную тему.  Оно призвано показать уровень сформированности коммуникативных навыков (построение связного текста по заданной критериями форме), зрелость мысли, способность аргументированно (с опорой на литературный материал) рассуждать, делать умозаключения. В нормативных документах указано, что итоговое сочинение носит надпредметный характер и при этом является литературоцентричным, то есть позволяет в рамках выбранной темы свободно размышлять по поводу этико-нравственных, философских, психологических и социальных проблем, приводя в качестве аргументов художественные произведения.;1;1;-1
2;-1;algoritmnew;-1;Проводится итоговое сочинение обычно в начале декабря, в учебных заведениях (в школе, лицее, гимназии), в которых обучаются выпускники. Продолжительность написания сочинения составляет 3 часа 55 минут (235 минут), не включая время инструктажа, заполнения бланков регистрации и записи. Оценивание сочинений происходит по системе «зачет/незачет». Темы сочинения становятся известны только на экзамене. Они разрабатываются и комплектуются по часовым поясам. Комплект включает пять формулировок, каждая из которых соотносится с одним из открытых тематических направлений, публикуемых в начале учебного года. На официальном сайте Федерального института педагогических измерений (вы можете на него перейти, кликнув по экрану) ежегодно выкладывают краткие комментарии к открытым тематическим направлениям текущего учебного года, поэтому готовиться можно заранее.;2;1;http://fipi.ru/
3;-1;-1;tematicheskienapravleniya;Ориентация на открытые тематические направления позволяет участнику заранее отобрать литературный материал, на который он сможет опираться в своих рассуждениях (как уже было отмечено выше, литературный компонент является обязательным). Важно помнить, что успешное написание итогового сочинения является для выпускников 11 классов допуском к государственной итоговой аттестации. Пример соотношения тематического блока и тем 2020/21 учебного года по материалам ФИПИ:;3;1;http://fipi.ru/
4;-1;-1;primerkonkretizasii;Пример конкретизации тематического блока в темах:;4;1;-1
5;Требования к написанию и критерии оценивания итогового сочинения;-1;trebovaniya;Для обеспечения прозрачности и ясности предъявляемых требований к сочинению каждый комплект сопровождается инструкцией для участников итогового сочинения. Экспертами в первую очередь проверяется соблюдение участниками двух требований («Объем итогового сочинения» и «Самостоятельность написания итогового сочинения»):;5;1;-1
6;-1;-1;-1;ВАЖНО: В соответствии с 1 требованием: специалистами учитываются самостоятельные и служебные части речи, подсчитывается любая последовательность слов, написанных без пробела («всё-таки» – одно слово, «всё же» – два слова), инициалы с фамилией являются одним словом («А.С. Пушкин» – одно слово), не учитываются любые другие символы («7 лет» – одно слово, «семь лет» – два слова). Далее эксперты берутся за проверку критериев итогового сочинения:;6;1;-1
7;Критерии оценивания;-1;-1;1.«Соответствие теме»: Критерий нацелен на проверку содержания сочинения. Ученик должен рассуждать на предложенную тему, выбрав путь ее раскрытия (например, отвечать на вопрос, поставленный в теме, или размышлять над предложенной проблемой и т.п.).;7;1;-1
8;-1;-1;-1;«Незачет»: сочинение не соответствует теме, нет ответа на вопрос, поставленный в теме, не прослеживается конкретной цели высказывания. Во всех остальных случаях – «зачет».;8;1;-1
9;-1;-1;-1;2.«Аргументация. Привлечение литературного материала»: Критерий нацелен на проверку умения строить рассуждение, доказывать свою позицию, формулируя аргументы и подкрепляя их примерами из опубликованных литературных произведений. Можно привлекать произведения устного народного творчества (за исключением малых жанров), художественную, документальную, мемуарную, публицистическую, научную и научно-популярную литературу (в том числе философскую, психологическую, литературоведческую, искусствоведческую), дневники, очерки, литературную критику и другие произведения отечественной и мировой литературы (достаточно опоры на один текст). Предоставляется возможность разного уровня осмысления художественного текста: от смыслового анализа (элементы, как тематика, проблематика, сюжет, характеры) до комплексного анализа произведения в единстве формы и содержания и его интерпретации в аспекте выбранной темы.;9;1;-1
10;-1;-1;-1;«Незачет»: сочинение не содержит аргументации, написано без опоры на литературный материал, искажено содержание выбранного текста, литературный материал лишь упоминается в работе (аргументы не подкреплены примерами). Во всех остальных случаях – «зачет».;10;1;-1
11;-1;-1;-1;3.«Композиция и логика рассуждения»: Критерий нацелен на проверку умения логично выстраивать рассуждение на предложенную тему. Ученик должен выдерживать соотношение между тезисом и доказательствами.;11;1;-1
12;-1;-1;-1;«Незачет»: грубые логические нарушения мешают пониманию смысла сказанного, отсутствует тезисно-доказательная часть. Во всех остальных случаях – «зачет».;12;1;-1
13;-1;-1;-1;4.«Качество письменной речи»: Критерий нацелен на проверку речевого оформления текста сочинения. Ученик должен точно выражать мысли, используя разнообразную лексику и различные грамматические конструкции, при необходимости уместно употреблять термины.;13;1;-1
14;-1;-1;-1;«Незачет»: низкое качество речи (в том числе речевые ошибки), затрудняющее понимание смысла сочинения. Во всех остальных случаях – «зачет».;14;1;-1
15;-1;-1;-1;5.«Грамотность»: Критерий позволяет оценить грамотность выпускника.;15;1;-1
16;-1;-1;-1;«Незачет»: если на 100 слов в среднем приходится в сумме более пяти ошибок (грамматических, орфографических, пунктуационных).;16;1;-1
17;-1;-1;-1;ВАЖНО: Необходимо учитывать, что 1 и 2 критерии считаются основными для получения «зачета» (выставление «незачета» по одному из них ведет к «незачету» за работу в целом), а в дополнение обязателен «зачет» по одному из других критериев.;17;1;-1
18;-1;-1;dopolneniyakkriteriyam;Дополнения к некоторым критериям оценивания:;18;1;-1
19;Алгоритм работы над сочинением;-1;ic_algoritmne1;А.Г. Нарушевич в своих пособиях для подготовки к итоговому сочинению предлагает стратегии создания текста:;19;1;https://pdf.11klasov.net/14269-egje-2021-russkij-jazyk-literatura-itogovoe-vypusknoe-sochinenie-v-11-klasse-narushevich.html
